case,CaseName,ρPre,ρPost,ρDelta,DRIPre,DRIPost,DRIDelta,MeanPermutedDRIPre,MeanPermutedDRIPost,MeanPermutedDRIDelta,pValuePre,pValuePost,pValueDelta,CIPre,CIPost,CIDelta
0.1,Uppsala Speaks_Control,0.42244399882433464,0.3024315949055901,-0.12001240391874457,0.40454293054656865,0.28267996885342295,-0.05404562581060568,0.2406212128054214,0.15393989125461255,-0.07380252209207955,0.0,0.004,0.632,"(0.1740304454106544, 0.34796084273704875)","(0.04496932080441992, 0.2689437388604766)","(-0.19061011630382962, 0.03203326620074729)"
1.0,Uppsala Speaks_Group Briefing,0.24035724839563324,0.46072031238648203,0.2203630639908488,0.3384115898230393,0.5276924796510876,0.15860789408026155,0.22333287354304263,0.3690302096394461,0.13584234323638394,0.008,0.0,0.382,"(0.15636570259213364, 0.32874638726082434)","(0.3005188972732116, 0.453139594519828)","(0.06960143228540203, 0.20443502736867694)"
2.0,Uppsala Speaks_Group Building Plus,0.3529028989369815,0.7516345534207645,0.39873165448378295,0.4306278546970681,0.66678792721933,0.19406446274830413,0.3313719633203485,0.40377542038723113,0.07603075836644871,0.03,0.0,0.002,"(0.2591808726116193, 0.4487190479052331)","(0.33130984933374535, 0.5221522587252627)","(-0.0718776119604234, 0.17640658337511314)"
3.0,FNQCJ,0.1415424023060164,0.6808215719527619,0.5392791696467456,-0.07104359808130822,0.490588468232938,0.5634017571608423,-0.06914767776692889,0.32802795812561636,0.3978877224808924,0.96,0.008,0.032,"(-0.1398190811190236, 0.017097940063587592)","(0.2277766549089661, 0.4879827408067167)","(0.2274068829204728, 0.5770284404391971)"
4.0,ACP,0.08584890913473953,0.06116594274795748,-0.024682966386782045,0.14228978962757277,0.016670326922834988,-0.03652927551500618,0.1106546896453466,0.007468609636088622,-0.04683680594644386,0.008,0.4,0.53,"(0.08407368511333932, 0.141286241544037)","(-0.016014846264623604, 0.03706346605735003)","(-0.09051580603244863, -0.004289484230420792)"
5.0,Sydney CC,0.11920911740155146,0.03552752010550161,-0.08368159729604985,0.380240176329816,0.45602850887769764,0.0917318299532659,0.36897876408864655,0.4605833376947514,0.10350404664705466,0.626,0.9079999999999999,0.714,"(0.3179500971902547, 0.4219387713537404)","(0.399005913063913, 0.5326674836148586)","(0.014868116084751437, 0.18111004563386152)"
6.0,Forest ERA_Citizens,0.4041273713921992,0.5084737583111412,0.10434638691894199,0.3624828530901154,0.4960087725677449,0.11608335992900409,0.26518283857276703,0.38089741854310066,0.10196394426708176,0.054,0.034,0.886,"(0.16792379997394857, 0.38455852054433226)","(0.2732886362237876, 0.5074080885515847)","(-0.06870313564260279, 0.25870459841609494)"
7.0,Forest ERA_Stakeholders,0.04628333982426866,0.3371998717564762,0.29091653193220757,0.4080243120261533,0.4846059895254837,0.009040723626681624,0.3823962027905888,0.4447086409203704,-0.006610860698990578,0.476,0.214,0.758,"(0.30685007044266716, 0.48081141182135206)","(0.3862582475910784, 0.5192454243717642)","(-0.11013818997790771, 0.09054549680877069)"
8.0,Biobanking_UBC,0.04347027810310345,0.0053107128212996155,-0.03815956528180384,0.23261385057951633,0.32863827715167915,0.15256127478452708,0.21042464431631938,0.3341268565998694,0.12945445981961032,0.53,0.8640000000000001,0.486,"(0.13075977840011144, 0.30869993562044035)","(0.26926551699342044, 0.4091683852180041)","(0.049964480573155445, 0.2167321452338262)"
9.0,Biobanking_Mayo,0.05162510296456461,0.2726660370093549,0.22104093404479028,0.2762641224189706,0.33608068844243455,0.07910662630503151,0.2753584623692998,0.26436843282790634,0.043644584268701055,0.94,0.126,0.476,"(0.21338049110993662, 0.35293335801991366)","(0.16643901393954244, 0.3749765843387683)","(-0.07230779745647374, 0.16603380934089151)"
10.0,Biobanking_WA_Citizens,0.21397356453600672,0.4964256083670189,0.2824520438310122,0.20576750709918867,0.5037228010273893,0.16293278082668294,0.1361388793031408,0.3998870283121917,0.1838704200290438,0.36,0.062,0.77,"(0.014332905661490428, 0.3069990971372205)","(0.29013273403884277, 0.5435654907074682)","(0.02046071785820335, 0.3482597697450003)"
11.0,Biobanking_WA_Stakeholders,0.3086810343791305,0.32971031782902677,0.02102928344989624,0.33340805301164567,0.26704454886049356,-0.025459683416874324,0.2448436818858855,0.18392779756714742,-0.08444420627500193,0.056,0.092,0.21,"(0.1597466032040979, 0.3634090078996396)","(0.0886507751244519, 0.30280280397384496)","(-0.1975513929184513, 0.030380740386846957)"
