Participant,DRI
2,0.549470242947302
17,0.2714784749041528
20,0.6788469041910432
24,0.47420683753711557
47,0.5056982492945632
49,0.5939616722810859
69,0.6351224710506664
76,0.630916753840167
81,0.656915072123536
82,0.669056872966123
83,0.6444461337764273
86,0.6435067353671975
88,0.6728772973823212
137,0.6533884520091067
169,0.6296415305402749
182,0.6697116360665882
205,0.6390920190808482
258,0.5413921021456272
282,0.5054110073316889
289,0.6252495757537151
342,0.6077592181351392
392,0.6168775711619372
394,0.4978194443384567
399,0.6540017706150585
404,0.5657124918102232
412,0.5138638674448435
447,0.6809869997992826
463,0.5499747471359662
499,0.5700947138121162
508,0.6118233906565864
510,0.6563330581838964
514,0.5424921633997761
518,0.5060568605671885
521,0.5798590009634852
528,0.46935473401596783
530,0.4714327896844739
532,0.5519021856193793
533,0.5771893945320163
535,0.0
538,0.4633792185277903
541,0.5005186747455925
547,0.43062218445333933
554,0.6471579836786299
555,0.5113155899292794
556,0.6345830231887404
558,0.580165678962441
563,0.510521434203274
564,0.3447927117884997
566,0.5152644629956675
568,0.531778817802582
569,0.46992129717573716
573,0.5675492123109902
586,0.6030952871510824
587,0.5867350482894125
588,0.6666247700228474
589,0.6777995014737548
590,0.5710177675412025
595,0.5772496022280573
596,0.5032118133394896
603,0.5110477616989861
605,0.5830478399248733
606,0.4293757009877932
607,0.3635265105363501
610,0.4462211490827639
611,0.5435611450899773
614,0.5561755821850103
618,0.5797653932777325
623,0.6061231871509474
635,0.41536744367295575
642,0.5902278970583339
643,0.4697423700812182
652,0.5482161044825198
655,0.6063683486178457
687,0.537111160922118
702,0.5901751716620598
710,0.5872677889337079
711,0.5871309720724445
712,0.4382327749586772
720,0.5431907778955287
729,0.4975841887293724
737,0.5376145158742482
742,0.6040037782042929
743,0.6047498389358241
746,0.0
747,0.5621508947827536
758,0.5889310915607011
760,0.0
761,0.4624389834320075
765,0.5015554679179819
789,0.5608253852181528
795,0.501748213538308
799,0.3517588089621373
802,0.4300256363417554
808,0.5524010352814521
817,0.6056886027768358
824,0.48405761890821997
827,0.543126053561017
841,0.5659711955928746
848,0.5523478409154379
852,0.5758474095055581
862,0.5980377404358126
864,0.6241406736057269
869,0.5381535727312818
875,0.5481458913169119
880,0.5536796121215082
881,0.6189990394277121
900,0.5522814809934942
901,0.5338131881853379
903,0.4824884024802689
923,0.6530520145905272
929,0.4395016702189931
931,0.5984283009034437
932,0.5874045869456259
934,0.5575582061956803
940,0.4429769785384243
942,0.0
943,0.0
948,0.27898951215061807
951,0.5998393506372579
961,0.43446432445706806
971,0.5567347793350439
973,0.5914218418781274
976,0.4177604608775769
990,0.5088201200670046
991,0.4007417307283023
995,0.4506850249054988
1012,0.6405583826681123
1015,0.6669228827099003
1019,0.5077166393802794
1022,0.5047592582462983
1031,0.4494891218508521
1032,0.6008889473516104
1038,0.5451005300166891
1039,0.6476058387804449
1042,0.48403050520836177
1055,0.39256892410538047
1056,0.6071372092967031
1071,0.46729365578561355
1082,0.5687429783585243
1084,0.6095694343881626
1089,0.4728123716523158
1090,0.5921151692997895
1091,0.6642442352417994
1092,0.6581304129282419
1094,0.6521602200205621
1097,0.6668536300209997
1113,0.569196024458928
1127,0.4966334761499027
1133,0.5519171270247767
1136,0.5540256661699599
1147,0.46905102979044955
1151,0.214222711817732
1155,0.5737217955654172
1156,0.37597258707807213
1169,0.47200086866219415
1175,0.3798475563451298
1176,0.5888032655747284
1179,0.5006566276536726
1180,0.6201822360740774
1192,0.6374071315391083
1194,0.37158139223101894
1195,0.5071836710783011
1201,0.5868189479810653
1203,0.6014520181742162
1208,0.37916440132069984
1211,0.658409021737961
1212,0.3536119538385576
1216,0.49892346053086234
1218,0.5519417086267657
1223,0.41963194223980227
1227,0.53904841570072
1247,0.5959286325121789
1253,0.44450538495223757
1258,0.4418458735165465
1259,0.5619823359191896
1274,0.5493624092000242
1281,0.5667945758626394
1282,0.4702792412728878
1290,0.6361075104090119
1299,0.3967509951481991
1300,0.0
1303,0.0
1306,0.5412565636039872
1312,0.6688338561224945
1314,0.6426263478010064
1315,0.6548685366237001
1326,0.6162235713526256
1335,0.5026959949595173
1338,0.5709998454492318
1344,0.482647976971635
1356,0.5523743610129803
1367,0.47650369349718535
1369,0.0026624381000834862
1395,0.49013063122651634
1431,0.6387207411930897
1464,0.48462329046235264
1466,0.356046686726071
1478,0.558400790721056
1486,0.6049885288166541
1496,0.6416533602642345
1500,0.5743299883928557
1504,0.5992313330711341
1508,0.591881739836573
1509,0.5442660509465032
1511,0.5877894920645146
1517,0.4773037047063935
1522,0.5096059524323362
1526,0.5302768552015054
1533,0.649386390197445
1537,0.5012790681371357
1570,0.0
1581,0.562061638726207
1591,0.5101311456137201
1610,0.4937235563696196
1628,0.5618304811259109
1650,0.6225807099967671
1655,0.55655686503322
1671,0.47403020663547024
1674,0.5630839664293552
1685,0.5859524419480193
1688,0.5924344384304567
1714,0.6168242315165955
1719,0.5316885334764974
1720,0.5980033103163565
1730,0.5735131674447111
1743,0.6245003071333894
1764,0.39634177116792735
1773,0.6155026411333153
1799,0.43329918622006525
1801,0.6251566998942448
1816,0.6243801253134769
1829,0.45462273546901977
1831,0.5784989533681446
1842,0.6365537515582502
1844,0.6390818499106401
1847,0.43293372134153296
1860,0.5260200903674213
1869,0.6807826537965518
1882,0.30894398586743876
1887,0.09210772893240882
1914,0.5815788705867997
1927,0.5091242380299918
1945,0.0
1955,0.603433383837517
1961,0.6504257941799478
1962,0.5785817596906042
1966,0.5604173553769738
1990,0.6417733087598636
2008,0.46946978678025175
2013,0.4867712233205719
2016,0.6412269456635633
2022,0.5909045834730398
2057,0.5312533657775909
2062,0.5764714794817669
2063,0.5336155285124851
2070,0.5728054687644355
2078,0.3530664663355323
2090,0.6308191452125256
2092,0.5866261383863598
2096,0.5257008988536311
2115,0.5742308740958624
2132,0.5915346426333752
2136,0.5346977477650097
2144,0.644964172840899
2159,0.5177792789390891
2163,0.42273471026689435
2169,0.5465853817651922
2181,0.6065415006465977
2190,0.5385093830121954
2202,0.5028468443549381
2207,0.612844181669336
2218,0.5661356517557212
2222,0.6327432580528878
2239,0.5155342493280464
2253,0.5652319351663742
2284,0.6428501146004
2285,0.6341809564189391
2298,0.5133513565568169
2317,0.6259936287883894
2320,0.23220087382513732
2326,0.43543984700277405
2354,0.5084738281762038
2376,0.556744088317366
2385,0.5156336038376739
2389,0.608917183676271
2409,0.5705320278691852
2417,0.6135781102759095
2425,0.5941971627592857
