Participant,DRI
2,0.3402060514318088
3,0.3958348468756605
4,0.34295899771331406
5,0.46812422691387745
6,-0.050473166644682155
7,0.4369990297373383
8,0.32291333572250625
9,0.0930235458118851
10,0.024196038513306872
11,0.23544981007772448
12,0.18436730363963316
14,0.22845737184902415
15,0.27571326617015557
16,0.3151688842451077
18,0.23374459829951855
19,0.16454228959200146
20,0.41305250746611355
21,0.28858130593098763
22,0.27298599620553565
23,-0.08644947741712439
25,0.3888056914592837
26,-0.34198715717839
1,-0.012101283887079206
